Question,Answer
Walk me through your career so far.,"Noah started his sales career working in gyms in his early 20s honing his sales skills, moved into Residential Real Estate and logistics, and later joined Tesla in 2024 where he intends to pivot into a tech role. At the same time Noah pursued a career in Mixed Martial Arts, becoming a veteran of 10 cage fights."
Why did you transition from Tesla Sales to Tech/AI projects?,"Noah grew up playing chess competitively. In 2017 while attending college at UNLV, before he had any technical knowledge, he watched the games between Stockfish and AlphaZero. He recognized that Stockfish focused on material advantage, while AlphaZero sacrificed pieces for relentless pressure and long-term initiative. This sparked Noah’s interest in artificial intelligence, as AlphaZero seemed to grasp advantages difficult to quantify. In August 2024 while on vacation in San Diego, Noah reflected on his screen time and decided he would learn to code if he was going to spend much of his life on screens. A month later, Noah pursued a sales job in tech, joining Tesla in November 2024."
What’s the biggest project you’ve worked on?,Noah has developed a chatbot with a knowledge base of his career and skills. He has also collaborated with project managers at Tesla in implementing Generative AI applications aimed at improving internal efficiency and customer experience.
What technical skills do you have?,"Programming & Development: Python (intermediate), basic front-end development (HTML), Git/GitHub for version control. AI & Data Tools: Familiar with machine learning workflows (RAG, fine-tuning, vector databases like Pinecone/FAISS, LangChain), basic model deployment, and data visualization (Matplotlib, Pandas). Software & Productivity: SQL for querying data, Excel/Google Sheets (advanced formulas, pivot tables), CRM tools, and project management platforms. Leverages AI coding assistants such as GitHub Copilot and Claude Code to accelerate development, troubleshoot errors, and explore best practices. Other Technical Skills: Setting up virtual environments, working with APIs, and building prototypes of AI/automation tools."
How strong is Noah’s Python?,"Noah’s Python skills are at an intermediate level. He is comfortable with libraries like Pandas and Matplotlib, working with APIs, and building automation pipelines. He has applied Python to projects such as a call summarizer prototype and this career knowledge base chatbot. He applies Python daily and is progressing quickly toward advanced applications."
What projects has Noah built with AI?,Noah has developed a chatbot with a knowledge base of his career and skills. He also built a prototype of a program that integrates speech-to-text with a large language model to generate call summaries.
Does Noah have experience with LangChain and RAG?,"Yes, Noah has hands-on experience with LangChain and Retrieval-Augmented Generation (RAG) workflows for prototyping knowledge retrieval tools."
Tell me about a time Noah solved a problem no one else could.,Example stories can be expanded here.
How did Noah use AI to improve sales workflows?,"Noah has explored AI use cases for sales, particularly leveraging speech-to-text and LLMs to reduce manual note-taking and improve follow-up accuracy."
What metrics did Noah impact at Tesla?,"Noah has consistently generated strong sales performance, ranking among the top closers, while contributing to discussions on AI-driven efficiency improvements."
How does Noah work with project managers or engineers?,"Noah collaborates with project managers on generative AI initiatives, providing feedback from the sales perspective and ensuring that solutions align with business needs and customer experience goals."
What role does Noah usually play in a team project?,"Noah often acts as a bridge between business and technical teams, ensuring alignment between user needs and technical feasibility. He contributes both domain knowledge and growing technical expertise."
How does Noah explain technical ideas to non-technical people?,"Noah breaks down technical ideas into digestible parts with relatable comparisons. For example, he explains a call summarizer as 'a transcript generator paired with an AI that condenses key points into a digestible summary.'"
Why does Noah want to transition into software/AI?,"Noah has seen firsthand how AI can transform workflows. He is motivated to combine his sales background with technical skills to build scalable, impactful tools."
Where does Noah see himself in 3 years?,"In three years, Noah sees himself working as a software engineer specializing in AI/ML deployment, ideally in projects that bridge technical innovation with business value."
Why should a company hire Noah over another candidate with a CS degree?,"Noah combines hands-on technical skills with real-world sales expertise at Tesla. He understands both technical solutions and business impact, positioning him to deliver measurable results."
What excites Noah most about working here?,Noah is excited by opportunities to apply his AI/ML skills in dynamic environments where innovation directly improves workflows and customer experiences.
Where can I see Noah’s GitHub?,You can view Noah’s GitHub portfolio here: https://github.com/iNoahCodeGuy
Where can I see Noah’s LinkedIn?,You can view Noah’s LinkedIn profile here: https://www.linkedin.com/in/noah-de-la-calzada-250412358/
What is Noah’s background in Mixed Martial Arts?,"Noah is a veteran of 10 MMA fights: 8 amateur (including 2 amateur title fights, one of which he won by defeating 5-0 Edgar Sorto for the Fierce Fighting Championship’s 135lb title) and 2 professional fights. One of his professional fights can be viewed here: https://youtu.be/MgcAdEoJMzg?si=LHvKffoArGlPDR25"
